date,unit_nav,cum_nav,ret_pct
2020-05-22,1.0001,1.0001,0.0
2020-05-29,1.0002,1.0002,0.0
2020-06-05,0.9998,0.9998,0.0
2020-06-12,0.9989,0.9989,0.0
2020-06-19,1.0089,1.0089,0.0
2020-06-24,1.0041,1.0041,0.0
2020-06-30,1.0055,1.0055,0.0
2020-07-02,1.0473,1.0473,0.0
2020-07-03,1.0702,1.0702,2.19
2020-07-06,1.1337,1.1337,5.93
2020-07-07,1.13,1.13,-0.33
2020-07-08,1.1438,1.1438,1.22
2020-07-09,1.1535,1.1535,0.85
2020-07-10,1.134,1.134,-1.69
2020-07-13,1.1491,1.1491,1.33
2020-07-14,1.1372,1.1372,-1.04
2020-07-15,1.119,1.119,-1.6
2020-07-16,1.1281,1.1281,0.81
2020-07-17,1.1233,1.1233,-0.43
2020-07-20,1.1658,1.1658,3.78
2020-07-21,1.1606,1.1606,-0.45
2020-07-22,1.1616,1.1616,0.09
2020-07-23,1.1508,1.1508,-0.93
2020-07-24,1.1225,1.1225,-2.46
2020-07-27,1.1191,1.1191,-0.3
2020-07-28,1.1248,1.1248,0.51
2020-07-29,1.1409,1.1409,1.43
2020-07-30,1.1412,1.1412,0.03
2020-07-31,1.1465,1.1465,0.46
2020-08-03,1.1664,1.1664,1.74
2020-08-04,1.1697,1.1697,0.28
2020-08-05,1.1606,1.1606,-0.78
2020-08-06,1.1619,1.1619,0.11
2020-08-07,1.154,1.154,-0.68
2020-08-10,1.1698,1.1698,1.37
2020-08-11,1.1623,1.1623,-0.64
2020-08-12,1.1672,1.1672,0.42
2020-08-13,1.1736,1.1736,0.55
2020-08-14,1.1793,1.1793,0.49
2020-08-17,1.2046,1.2046,2.15
2020-08-18,1.2087,1.2087,0.34
2020-08-19,1.2054,1.2054,-0.27
2020-08-20,1.1928,1.1928,-1.05
2020-08-21,1.2003,1.2003,0.63
2020-08-24,1.2071,1.2071,0.57
2020-08-25,1.2023,1.2023,-0.4
2020-08-26,1.1911,1.1911,-0.93
2020-08-27,1.1931,1.1931,0.17
2020-08-28,1.2078,1.2078,1.23
2020-08-31,1.2033,1.2033,-0.37
2020-09-01,1.2059,1.2059,0.22
2020-09-02,1.2023,1.2023,-0.3
2020-09-03,1.1989,1.1989,-0.28
2020-09-04,1.1909,1.1909,-0.67
2020-09-07,1.1786,1.1786,-1.03
2020-09-08,1.192,1.192,1.14
2020-09-09,1.1796,1.1796,-1.04
2020-09-10,1.1725,1.1725,-0.6
2020-09-11,1.1698,1.1698,-0.23
2020-09-14,1.1707,1.1707,0.08
2020-09-15,1.169,1.169,-0.15
2020-09-16,1.1716,1.1716,0.22
2020-09-17,1.1697,1.1697,-0.16
2020-09-18,1.193,1.193,1.99
2020-09-21,1.1876,1.1876,-0.45
2020-09-22,1.1722,1.1722,-1.3
2020-09-23,1.1696,1.1696,-0.22
2020-09-24,1.1501,1.1501,-1.67
2020-09-25,1.1481,1.1481,-0.17
2020-09-28,1.153,1.153,0.43
2020-09-29,1.1539,1.1539,0.08
2020-09-30,1.1477,1.1477,-0.54
2020-10-09,1.1641,1.1641,1.43
2020-10-12,1.1832,1.1832,1.64
2020-10-13,1.1823,1.1823,-0.08
2020-10-14,1.1764,1.1764,-0.5
2020-10-15,1.1792,1.1792,0.24
2020-10-16,1.1891,1.1891,0.84
2020-10-19,1.182,1.182,-0.6
2020-10-20,1.1804,1.1804,-0.14
2020-10-21,1.1823,1.1823,0.16
2020-10-22,1.1813,1.1813,-0.08
2020-10-23,1.1801,1.1801,-0.1
2020-10-26,1.1751,1.1751,-0.42
2020-10-27,1.171,1.171,-0.35
2020-10-28,1.1679,1.1679,-0.26
2020-10-29,1.1656,1.1656,-0.2
2020-10-30,1.1522,1.1522,-1.15
2020-11-02,1.1537,1.1537,0.13
2020-11-03,1.1687,1.1687,1.3
2020-11-04,1.1697,1.1697,0.09
2020-11-05,1.1824,1.1824,1.09
2020-11-06,1.1866,1.1866,0.36
2020-11-09,1.2044,1.2044,1.5
2020-11-10,1.2015,1.2015,-0.24
2020-11-11,1.2116,1.2116,0.84
2020-11-12,1.2053,1.2053,-0.52
2020-11-13,1.1932,1.1932,-1.0
2020-11-16,1.2136,1.2136,1.71
2020-11-17,1.2145,1.2145,0.07
2020-11-18,1.2207,1.2207,0.51
2020-11-19,1.219,1.219,-0.14
2020-11-20,1.225,1.225,0.49
2020-11-23,1.2435,1.2435,1.51
2020-11-24,1.2422,1.2422,-0.1
2020-11-25,1.2303,1.2303,-0.96
2020-11-26,1.2345,1.2345,0.34
2020-11-27,1.2457,1.2457,0.91
2020-11-30,1.238,1.238,-0.62
2020-12-01,1.2547,1.2547,1.35
2020-12-02,1.2576,1.2576,0.23
2020-12-03,1.2467,1.2467,-0.87
2020-12-04,1.2409,1.2409,-0.47
2020-12-07,1.227,1.227,-1.12
2020-12-08,1.2202,1.2202,-0.55
2020-12-09,1.2148,1.2148,-0.44
2020-12-10,1.2173,1.2173,0.21
2020-12-11,1.2085,1.2085,-0.72
2020-12-14,1.1973,1.1973,-0.93
2020-12-15,1.195,1.195,-0.19
2020-12-16,1.1941,1.1941,-0.08
2020-12-17,1.2084,1.2084,1.2
2020-12-18,1.2189,1.2189,0.87
2020-12-21,1.2209,1.2209,0.16
2020-12-22,1.1921,1.1921,-2.36
2020-12-23,1.195,1.195,0.24
2020-12-24,1.188,1.188,-0.59
2020-12-25,1.2004,1.2004,1.04
2020-12-28,1.1943,1.1943,-0.51
2020-12-29,1.187,1.187,-0.61
2020-12-30,1.192,1.192,0.42
2020-12-31,1.1979,1.1979,0.49
2021-01-04,1.1998,1.1998,0.16
2021-01-05,1.1932,1.1932,-0.55
2021-01-06,1.1988,1.1988,0.47
2021-01-07,1.2011,1.2011,0.19
2021-01-08,1.2046,1.2046,0.29
2021-01-11,1.1841,1.1841,-1.7
2021-01-12,1.1959,1.1959,1.0
2021-01-13,1.2047,1.2047,0.74
2021-01-14,1.209,1.209,0.36
2021-01-15,1.2121,1.2121,0.26
2021-01-18,1.2173,1.2173,0.43
2021-01-19,1.2194,1.2194,0.17
2021-01-20,1.2171,1.2171,-0.19
2021-01-21,1.2188,1.2188,0.14
2021-01-22,1.2015,1.2015,-1.42
2021-01-25,1.192,1.192,-0.79
2021-01-26,1.1882,1.1882,-0.32
2021-01-27,1.1916,1.1916,0.29
2021-01-28,1.1778,1.1778,-1.16
2021-01-29,1.1674,1.1674,-0.88
2021-02-01,1.1744,1.1744,0.6
2021-02-02,1.1681,1.1681,-0.54
2021-02-03,1.1628,1.1628,-0.45
2021-02-04,1.1586,1.1586,-0.36
2021-02-05,1.1643,1.1643,0.49
2021-02-08,1.1736,1.1736,0.8
