date,close,pct
1990-01-01,1000.0,0.0
2004-12-31,1000.0,0.0
2005-01-04,981.56,-1.84
2005-01-05,986.54,0.51
2005-01-06,975.53,-1.12
2005-01-07,980.72,0.53
2005-01-10,989.53,0.9
2005-01-11,990.28,0.08
2005-01-12,989.82,-0.05
2005-01-13,989.73,-0.01
2005-01-14,984.76,-0.5
2005-01-17,961.33,-2.38
2005-01-18,965.39,0.42
2005-01-19,959.25,-0.64
2005-01-20,949.45,-1.02
2005-01-21,976.92,2.89
2005-01-24,992.22,1.57
2005-01-25,994.67,0.25
2005-01-26,988.22,-0.65
2005-01-27,976.56,-1.18
2005-01-28,969.62,-0.71
2005-01-31,959.1,-1.09
2005-02-01,962.42,0.35
2005-02-02,1012.53,5.21
2005-02-03,1004.11,-0.83
2005-02-04,1027.26,2.31
2005-02-16,1034.99,0.75
2005-02-17,1028.54,-0.62
2005-02-18,1013.78,-1.44
2005-02-21,1032.69,1.87
2005-02-22,1054.21,2.08
2005-02-23,1054.11,-0.01
2005-02-24,1053.41,-0.07
2005-02-25,1053.84,0.04
2005-02-28,1047.24,-0.63
2005-03-01,1040.56,-0.64
2005-03-02,1023.22,-1.67
2005-03-03,1031.41,0.8
2005-03-04,1027.52,-0.38
2005-03-07,1033.63,0.6
2005-03-08,1054.1,1.98
2005-03-09,1054.37,0.03
2005-03-10,1027.82,-2.52
2005-03-11,1031.73,0.38
2005-03-14,1038.42,0.65
2005-03-15,1018.74,-1.89
2005-03-16,1008.53,-1.0
2005-03-17,996.6,-1.18
2005-03-18,984.56,-1.21
2005-03-21,990.67,0.62
2005-03-22,976.08,-1.47
2005-03-23,970.32,-0.59
2005-03-24,976.58,0.65
2005-03-25,975.01,-0.16
2005-03-28,973.51,-0.15
2005-03-29,968.58,-0.51
2005-03-30,952.3,-1.68
2005-03-31,956.04,0.39
2005-04-01,990.51,3.61
2005-04-04,972.74,-1.79
2005-04-05,963.35,-0.97
2005-04-06,978.03,1.52
2005-04-07,985.12,0.73
2005-04-08,1002.47,1.76
2005-04-11,995.76,-0.67
2005-04-12,981.1,-1.47
2005-04-13,1003.32,2.27
2005-04-14,995.38,-0.79
2005-04-15,983.89,-1.16
2005-04-18,971.47,-1.26
2005-04-19,973.61,0.22
2005-04-20,966.07,-0.78
2005-04-21,958.31,-0.8
2005-04-22,956.41,-0.2
2005-04-25,944.96,-1.2
2005-04-26,947.9,0.31
2005-04-27,932.02,-1.68
2005-04-28,941.7,1.04
2005-04-29,932.53,-0.97
2005-05-09,911.56,-2.25
2005-05-10,916.11,0.5
2005-05-11,905.32,-1.18
2005-05-12,885.87,-2.15
2005-05-13,883.51,-0.27
2005-05-16,873.69,-1.11
2005-05-17,880.58,0.79
2005-05-18,878.8,-0.2
2005-05-19,878.11,-0.08
2005-05-20,876.41,-0.19
2005-05-23,852.18,-2.77
2005-05-24,852.25,0.01
2005-05-25,850.88,-0.16
2005-05-26,840.5,-1.22
2005-05-27,833.56,-0.83
2005-05-30,839.14,0.67
2005-05-31,841.31,0.26
2005-06-01,824.39,-2.01
2005-06-02,808.13,-1.97
2005-06-03,803.47,-0.58
2005-06-06,819.9,2.04
2005-06-07,818.32,-0.19
2005-06-08,886.63,8.35
2005-06-09,891.89,0.59
2005-06-10,875.38,-1.85
2005-06-13,867.3,-0.92
2005-06-14,862.26,-0.58
2005-06-15,849.04,-1.53
2005-06-16,857.33,0.98
2005-06-17,863.76,0.75
2005-06-20,885.11,2.47
2005-06-21,875.99,-1.03
2005-06-22,875.62,-0.04
2005-06-23,868.77,-0.78
2005-06-24,874.57,0.67
2005-06-27,888.22,1.56
2005-06-28,878.1,-1.14
2005-06-29,875.3,-0.32
2005-06-30,855.46,-2.27
2005-07-01,844.23,-1.31
2005-07-04,840.77,-0.41
2005-07-05,831.07,-1.15
2005-07-06,826.75,-0.52
2005-07-07,829.51,0.33
2005-07-08,815.58,-1.68
2005-07-11,808.77,-0.84
2005-07-12,830.48,2.68
2005-07-13,825.71,-0.58
2005-07-14,827.39,0.2
2005-07-15,818.4,-1.09
2005-07-18,808.58,-1.2
2005-07-19,808.63,0.01
2005-07-20,818.13,1.18
2005-07-21,821.68,0.43
2005-07-22,833.38,1.42
2005-07-25,830.65,-0.33
2005-07-26,848.28,2.12
2005-07-27,866.04,2.09
2005-07-28,864.49,-0.18
2005-07-29,862.55,-0.22
2005-08-01,865.68,0.36
2005-08-02,876.17,1.21
2005-08-03,882.12,0.68
2005-08-04,879.67,-0.28
2005-08-05,895.89,1.84
2005-08-08,902.92,0.78
2005-08-09,909.24,0.7
2005-08-10,913.27,0.44
2005-08-11,924.4,1.22
2005-08-12,915.7,-0.94
2005-08-15,929.63,1.52
2005-08-16,922.6,-0.76
2005-08-17,929.27,0.72
2005-08-18,911.76,-1.88
2005-08-19,912.63,0.1
2005-08-22,917.65,0.55
2005-08-23,910.62,-0.77
2005-08-24,918.98,0.92
2005-08-25,916.99,-0.22
2005-08-26,913.3,-0.4
2005-08-29,900.07,-1.45
2005-08-30,897.89,-0.24
2005-08-31,910.62,1.42
2005-09-01,924.79,1.56
2005-09-02,926.82,0.22
2005-09-05,930.53,0.4
2005-09-06,915.42,-1.62
2005-09-07,929.65,1.55
2005-09-08,932.03,0.26
2005-09-09,929.7,-0.25
2005-09-12,928.82,-0.1
2005-09-13,941.82,1.4
2005-09-14,948.07,0.66
2005-09-15,951.17,0.33
2005-09-16,948.7,-0.26
2005-09-19,953.98,0.56
2005-09-20,946.16,-0.82
2005-09-21,929.26,-1.79
2005-09-22,906.98,-2.4
2005-09-23,903.4,-0.4
2005-09-26,903.09,-0.03
2005-09-27,890.25,-1.42
2005-09-28,886.86,-0.38
2005-09-29,899.23,1.39
2005-09-30,903.06,0.43
2005-10-10,890.68,-1.37
2005-10-11,901.63,1.23
2005-10-12,905.32,0.41
2005-10-13,899.29,-0.67
2005-10-14,887.56,-1.3
2005-10-17,875.46,-1.36
2005-10-18,879.84,0.5
2005-10-19,875.43,-0.5
2005-10-20,873.7,-0.2
2005-10-21,877.16,0.4
2005-10-24,875.93,-0.14
2005-10-25,864.12,-1.35
2005-10-26,845.45,-2.16
2005-10-27,841.55,-0.46
2005-10-28,833.96,-0.9
2005-10-31,842.28,1.0
2005-11-01,838.28,-0.48
2005-11-02,848.9,1.27
2005-11-03,840.04,-1.04
2005-11-04,844.36,0.51
2005-11-07,843.23,-0.14
2005-11-08,846.3,0.36
2005-11-09,844.47,-0.22
2005-11-10,827.9,-1.96
2005-11-11,826.54,-0.17
2005-11-14,822.91,-0.44
2005-11-15,820.35,-0.31
2005-11-16,831.4,1.35
2005-11-17,827.9,-0.42
2005-11-18,846.31,2.22
2005-11-21,849.34,0.36
2005-11-22,835.28,-1.66
2005-11-23,840.82,0.66
2005-11-24,845.48,0.56
2005-11-25,846.42,0.11
2005-11-28,844.82,-0.19
2005-11-29,835.29,-1.13
2005-11-30,834.36,-0.11
2005-12-01,835.49,0.14
2005-12-02,835.91,0.05
2005-12-05,825.92,-1.2
2005-12-06,832.28,0.77
2005-12-07,839.33,0.85
2005-12-08,839.04,-0.04
2005-12-09,850.36,1.35
2005-12-12,851.4,0.12
2005-12-13,852.49,0.13
2005-12-14,858.27,0.68
2005-12-15,858.98,0.08
2005-12-16,866.22,0.84
2005-12-19,871.47,0.61
2005-12-20,873.17,0.2
2005-12-21,867.74,-0.62
2005-12-22,872.33,0.53
2005-12-23,879.13,0.78
2005-12-26,887.17,0.92
2005-12-27,887.31,0.02
2005-12-28,891.09,0.43
2005-12-29,895.86,0.54
2005-12-30,890.49,-0.6
2006-01-04,900.52,1.13
2006-01-05,919.63,2.12
2006-01-06,929.28,1.05
2006-01-09,931.27,0.21
2006-01-10,933.5,0.24
2006-01-11,930.28,-0.35
2006-01-12,938.58,0.89
2006-01-13,932.33,-0.67
2006-01-16,917.84,-1.55
2006-01-17,921.0,0.34
2006-01-18,939.22,1.98
2006-01-19,952.04,1.37
2006-01-20,956.25,0.44
2006-01-23,957.95,0.18
2006-01-24,955.07,-0.3
2006-01-25,961.83,0.71
2006-02-06,985.96,2.51
2006-02-07,983.48,-0.25
2006-02-08,985.77,0.23
2006-02-09,974.17,-1.18
2006-02-10,985.28,1.14
2006-02-13,985.07,-0.02
2006-02-14,988.0,0.3
2006-02-15,990.6,0.26
2006-02-16,966.81,-2.4
2006-02-17,968.81,0.21
2006-02-20,969.79,0.1
2006-02-21,987.74,1.85
2006-02-22,989.12,0.14
2006-02-23,992.06,0.3
2006-02-24,1000.76,0.88
2006-02-27,996.84,-0.39
2006-02-28,997.97,0.11
2006-03-01,1002.58,0.46
2006-03-02,990.1,-1.25
2006-03-03,997.1,0.71
2006-03-06,994.67,-0.24
2006-03-07,974.41,-2.04
2006-03-08,965.01,-0.97
2006-03-09,965.51,0.05
2006-03-10,969.33,0.4
2006-03-13,979.08,1.01
2006-03-14,980.89,0.19
2006-03-15,990.67,1.0
2006-03-16,986.61,-0.41
2006-03-17,983.8,-0.29
2006-03-20,995.26,1.17
2006-03-21,993.73,-0.15
2006-03-22,995.73,0.2
2006-03-23,996.35,0.06
2006-03-24,992.44,-0.39
2006-03-27,994.35,0.19
2006-03-28,996.76,0.24
2006-03-29,1004.99,0.83
2006-03-30,998.48,-0.65
2006-03-31,999.83,0.14
2006-04-03,1009.95,1.01
2006-04-04,1020.0,1.0
2006-04-05,1029.27,0.91
2006-04-06,1029.44,0.02
2006-04-07,1029.41,0.0
2006-04-10,1044.85,1.5
2006-04-11,1054.37,0.91
2006-04-12,1046.23,-0.77
2006-04-13,1032.12,-1.35
2006-04-14,1056.89,2.4
2006-04-17,1064.55,0.73
2006-04-18,1070.21,0.53
2006-04-19,1072.73,0.24
2006-04-20,1061.49,-1.05
2006-04-21,1072.53,1.04
2006-04-24,1059.6,-1.21
