date,unit_nav,cum_nav,ret_pct
2012-05-28,1.724,1.724,0.0
2012-05-29,1.764,1.764,2.3201856148491906
2012-05-30,1.756,1.756,-0.45351473922902175
2012-05-31,1.75,1.75,-0.3416856492027387
2012-06-01,1.75,1.75,0.0
2012-06-04,1.678,1.678,-4.114285714285715
2012-06-05,1.681,1.681,0.17878426698452188
2012-06-06,1.679,1.679,-0.11897679952409534
2012-06-07,1.663,1.663,-0.9529481834425257
2012-06-08,1.654,1.654,-0.5411906193626081
2012-06-11,1.684,1.684,1.813784764207993
2012-06-12,1.668,1.668,-0.9501187648456089
2012-06-13,1.705,1.705,2.218225419664277
2012-06-14,1.694,1.694,-0.6451612903225823
2012-06-15,1.704,1.704,0.5903187721369552
2012-06-18,1.712,1.712,0.46948356807512415
2012-06-19,1.693,1.693,-1.1098130841121434
2012-06-20,1.69,1.69,-0.17720023626698334
2012-06-21,1.65,1.65,-2.3668639053254448
2012-06-25,1.6,1.6,-3.0303030303030165
2012-06-26,1.6,1.6,0.0
2012-06-27,1.591,1.591,-0.5625000000000102
2012-06-28,1.577,1.577,-0.8799497171590231
2012-06-29,1.605,1.605,1.775523145212432
2012-07-02,1.605,1.605,0.0
2012-07-03,1.609,1.609,0.24922118380061864
2012-07-04,1.609,1.609,0.0
2012-07-05,1.581,1.581,-1.7402113113735296
2012-07-06,1.621,1.621,2.5300442757748343
2012-07-09,1.571,1.571,-3.084515731030235
2012-07-10,1.561,1.561,-0.6365372374283917
2012-07-11,1.572,1.572,0.7046764894298674
2012-07-12,1.594,1.594,1.3994910941475869
2012-07-13,1.598,1.598,0.25094102885820924
2012-07-16,1.558,1.558,-2.50312891113893
2012-07-17,1.563,1.563,0.3209242618742003
2012-07-18,1.563,1.563,0.0
2012-07-19,1.571,1.571,0.5118362124120202
2012-07-20,1.553,1.553,-1.145767027371103
2012-07-23,1.523,1.523,-1.9317450096587252
2012-07-24,1.528,1.528,0.32829940906107247
2012-07-25,1.513,1.513,-0.9816753926701671
2012-07-26,1.502,1.502,-0.7270323859880912
2012-07-27,1.505,1.505,0.1997336884154377
2012-07-30,1.497,1.497,-0.5315614617940057
2012-07-31,1.491,1.491,-0.4008016032064132
2012-08-01,1.509,1.509,1.2072434607645732
2012-08-02,1.491,1.491,-1.1928429423459064
