date,unit_nav,cum_nav,ret_pct
2017-04-25,1.0,1.0,0.0
2017-04-28,1.0001,1.0001,0.0
2017-05-05,1.0003,1.0003,0.0
2017-05-12,1.0006,1.0006,0.0
2017-05-18,1.0078,1.0078,0.0
2017-05-19,1.0016,1.0016,-0.62
2017-05-22,0.9954,0.9954,-0.62
2017-05-23,0.9811,0.9811,-1.44
2017-05-24,0.9895,0.9895,0.86
2017-05-25,0.9901,0.9901,0.06
2017-05-26,0.9845,0.9845,-0.57
2017-05-31,0.9864,0.9864,0.19
2017-06-01,0.9692,0.9692,-1.74
2017-06-02,0.9778,0.9778,0.89
2017-06-05,0.9854,0.9854,0.78
2017-06-06,0.9882,0.9882,0.28
2017-06-07,1.0049,1.0049,1.69
2017-06-08,1.0023,1.0023,-0.26
2017-06-09,1.0031,1.0031,0.08
2017-06-12,0.9923,0.9923,-1.08
2017-06-13,1.0027,1.0027,1.05
2017-06-14,1.0003,1.0003,-0.24
2017-06-15,1.0133,1.0133,1.3
2017-06-16,1.0102,1.0102,-0.31
2017-06-19,1.0135,1.0135,0.33
2017-06-20,1.0157,1.0157,0.22
2017-06-21,1.0166,1.0166,0.09
2017-06-22,1.0037,1.0037,-1.27
2017-06-23,1.0085,1.0085,0.48
2017-06-26,1.0158,1.0158,0.72
2017-06-27,1.0152,1.0152,-0.06
2017-06-28,1.009,1.009,-0.61
2017-06-29,1.0127,1.0127,0.37
2017-06-30,1.0148,1.0148,0.21
2017-07-03,1.0254,1.0254,1.04
2017-07-04,1.022,1.022,-0.33
2017-07-05,1.026,1.026,0.39
2017-07-06,1.0274,1.0274,0.14
2017-07-07,1.0256,1.0256,-0.18
2017-07-10,1.0078,1.0078,-1.74
2017-07-11,0.9974,0.9974,-1.03
2017-07-12,0.9991,0.9991,0.17
2017-07-13,0.9949,0.9949,-0.42
2017-07-14,0.9768,0.9768,-1.82
2017-07-17,0.9277,0.9277,-5.03
2017-07-18,0.9339,0.9339,0.67
2017-07-19,0.9434,0.9434,1.02
2017-07-20,0.9456,0.9456,0.23
2017-07-21,0.9464,0.9464,0.08
2017-07-24,0.9446,0.9446,-0.19
2017-07-25,0.9457,0.9457,0.12
2017-07-26,0.9423,0.9423,-0.36
2017-07-27,0.9756,0.9756,3.53
2017-07-28,0.9709,0.9709,-0.48
2017-07-31,0.9722,0.9722,0.13
2017-08-01,0.9751,0.9751,0.3
2017-08-02,0.9661,0.9661,-0.92
2017-08-03,0.9708,0.9708,0.49
2017-08-04,0.9636,0.9636,-0.74
2017-08-07,0.9707,0.9707,0.74
2017-08-08,0.9869,0.9869,1.67
2017-08-09,0.9886,0.9886,0.17
2017-08-10,0.9823,0.9823,-0.64
2017-08-11,0.9754,0.9754,-0.7
2017-08-14,1.0027,1.0027,2.8
2017-08-15,1.0049,1.0049,0.22
2017-08-16,1.0191,1.0191,1.41
2017-08-17,1.0239,1.0239,0.47
2017-08-18,1.0172,1.0172,-0.65
2017-08-21,1.0212,1.0212,0.39
2017-08-22,1.0134,1.0134,-0.76
2017-08-23,1.0096,1.0096,-0.38
2017-08-24,1.0032,1.0032,-0.63
2017-08-25,1.013,1.013,0.98
2017-08-28,1.0289,1.0289,1.57
2017-08-29,1.0226,1.0226,-0.61
2017-08-30,1.0269,1.0269,0.42
2017-08-31,1.0329,1.0329,0.58
2017-09-01,1.0427,1.0427,0.95
2017-09-04,1.0537,1.0537,1.06
2017-09-05,1.0554,1.0554,0.16
2017-09-06,1.0649,1.0649,0.9
2017-09-07,1.0582,1.0582,-0.63
2017-09-08,1.0556,1.0556,-0.25
2017-09-11,1.0615,1.0615,0.56
2017-09-12,1.0552,1.0552,-0.59
2017-09-13,1.0575,1.0575,0.22
2017-09-14,1.0526,1.0526,-0.46
2017-09-15,1.0508,1.0508,-0.17
2017-09-18,1.0613,1.0613,1.0
2017-09-19,1.0537,1.0537,-0.72
2017-09-20,1.061,1.061,0.69
2017-09-21,1.05,1.05,-1.04
2017-09-22,1.0469,1.0469,-0.3
2017-09-25,1.0347,1.0347,-1.17
2017-09-26,1.0324,1.0324,-0.22
2017-09-27,1.041,1.041,0.83
2017-09-28,1.0408,1.0408,-0.02
2017-09-29,1.0483,1.0483,0.72
2017-10-09,1.0614,1.0614,1.25
2017-10-10,1.0772,1.0772,1.49
2017-10-11,1.0683,1.0683,-0.83
2017-10-12,1.0674,1.0674,-0.08
2017-10-13,1.082,1.082,1.37
2017-10-16,1.0579,1.0579,-2.23
2017-10-17,1.0548,1.0548,-0.29
2017-10-18,1.05,1.05,-0.46
2017-10-19,1.0469,1.0469,-0.3
2017-10-20,1.0569,1.0569,0.96
2017-10-23,1.0673,1.0673,0.98
2017-10-24,1.0689,1.0689,0.15
2017-10-25,1.0753,1.0753,0.6
2017-10-26,1.074,1.074,-0.12
2017-10-27,1.0661,1.0661,-0.74
2017-10-30,1.0436,1.0436,-2.11
2017-10-31,1.0516,1.0516,0.77
2017-11-01,1.0532,1.0532,0.15
2017-11-02,1.0392,1.0392,-1.33
2017-11-03,1.0315,1.0315,-0.74
2017-11-06,1.0412,1.0412,0.94
2017-11-07,1.0462,1.0462,0.48
2017-11-08,1.0504,1.0504,0.4
2017-11-09,1.0606,1.0606,0.97
2017-11-10,1.0699,1.0699,0.88
2017-11-13,1.0731,1.0731,0.3
2017-11-14,1.0678,1.0678,-0.49
2017-11-15,1.0521,1.0521,-1.47
2017-11-16,1.0579,1.0579,0.55
2017-11-17,1.0336,1.0336,-2.3
2017-11-20,1.048,1.048,1.39
2017-11-21,1.0463,1.0463,-0.16
2017-11-22,1.0444,1.0444,-0.18
2017-11-23,1.0121,1.0121,-3.09
2017-11-24,1.0053,1.0053,-0.67
2017-11-27,0.9932,0.9932,-1.2
2017-11-28,1.0115,1.0115,1.84
2017-11-29,1.008,1.008,-0.35
2017-11-30,0.9984,0.9984,-0.95
2017-12-01,1.0176,1.0176,1.92
2017-12-04,1.0137,1.0137,-0.38
2017-12-05,0.992,0.992,-2.14
2017-12-06,1.0063,1.0063,1.44
2017-12-07,1.0023,1.0023,-0.4
2017-12-08,1.0105,1.0105,0.82
2017-12-11,1.0241,1.0241,1.35
2017-12-12,1.0136,1.0136,-1.03
2017-12-13,1.0178,1.0178,0.41
2017-12-14,1.0114,1.0114,-0.63
2017-12-15,1.0056,1.0056,-0.57
2017-12-18,1.0037,1.0037,-0.19
2017-12-19,1.0137,1.0137,1.0
2017-12-20,1.0049,1.0049,-0.87
2017-12-21,1.0092,1.0092,0.43
2017-12-22,1.0037,1.0037,-0.55
2017-12-25,0.9907,0.9907,-1.3
2017-12-26,0.9925,0.9925,0.18
2017-12-27,0.985,0.985,-0.76
2017-12-28,0.9851,0.9851,0.01
2017-12-29,0.9894,0.9894,0.44
2017-12-31,0.9892,0.9892,0.0
2018-01-02,0.9974,0.9974,0.81
2018-01-03,1.0116,1.0116,1.42
2018-01-04,1.0111,1.0111,-0.05
2018-01-05,1.015,1.015,0.39
2018-01-08,1.0176,1.0176,0.26
2018-01-09,1.0162,1.0162,-0.14
2018-01-10,1.0094,1.0094,-0.67
2018-01-11,1.0166,1.0166,0.71
2018-01-12,1.0064,1.0064,-1.0
2018-01-15,0.9773,0.9773,-2.89
2018-01-16,0.9758,0.9758,-0.15
2018-01-17,0.9834,0.9834,0.78
2018-01-18,0.9816,0.9816,-0.18
2018-01-19,0.9765,0.9765,-0.52
2018-01-22,0.9987,0.9987,2.27
2018-01-23,0.9984,0.9984,-0.03
2018-01-24,1.0233,1.0233,2.49
2018-01-25,1.0222,1.0222,-0.11
2018-01-26,1.0256,1.0256,0.33
2018-01-29,1.0164,1.0164,-0.9
2018-01-30,1.0071,1.0071,-0.92
2018-01-31,0.9814,0.9814,-2.55
2018-02-01,0.9605,0.9605,-2.13
2018-02-02,0.9632,0.9632,0.28
2018-02-05,0.9557,0.9557,-0.78
2018-02-06,0.9052,0.9052,-5.28
2018-02-07,0.9153,0.9153,1.12
2018-02-08,0.9294,0.9294,1.54
2018-02-09,0.9019,0.9019,-2.96
2018-02-12,0.9329,0.9329,3.44
2018-02-13,0.9333,0.9333,0.04
2018-02-14,0.9324,0.9324,-0.1
2018-02-22,0.95,0.95,1.89
2018-02-23,0.9452,0.9452,-0.51
2018-02-26,0.9788,0.9788,3.55
2018-02-27,0.9866,0.9866,0.8
2018-02-28,0.9922,0.9922,0.57
2018-03-01,1.0123,1.0123,2.03
2018-03-02,1.0024,1.0024,-0.98
2018-03-05,1.0156,1.0156,1.32
2018-03-06,1.0167,1.0167,0.11
2018-03-07,1.0098,1.0098,-0.68
2018-03-08,1.0142,1.0142,0.44
2018-03-09,1.0493,1.0493,3.46
2018-03-12,1.0638,1.0638,1.38
2018-03-13,1.0585,1.0585,-0.5
2018-03-14,1.041,1.041,-1.65
2018-03-15,1.0453,1.0453,0.41
2018-03-16,1.0299,1.0299,-1.47
2018-03-19,1.0416,1.0416,1.14
2018-03-20,1.0531,1.0531,1.1
2018-03-21,1.0331,1.0331,-1.9
2018-03-22,1.0266,1.0266,-0.63
2018-03-23,0.9762,0.9762,-4.91
2018-03-26,1.0064,1.0064,3.09
2018-03-27,1.0417,1.0417,3.51
2018-03-28,1.0365,1.0365,-0.5
2018-03-29,1.0401,1.0401,0.35
2018-03-30,1.0724,1.0724,3.11
2018-04-02,1.0728,1.0728,0.04
2018-04-03,1.0576,1.0576,-1.42
2018-04-04,1.038,1.038,-1.85
2018-04-09,1.0407,1.0407,0.26
2018-04-10,1.0376,1.0376,-0.3
2018-04-11,1.0371,1.0371,-0.05
2018-04-12,1.0328,1.0328,-0.41
2018-04-13,1.0316,1.0316,-0.12
2018-04-16,1.0395,1.0395,0.77
2018-04-17,1.0089,1.0089,-2.94
2018-04-18,1.0305,1.0305,2.14
2018-04-19,1.0296,1.0296,-0.09
2018-04-20,1.0087,1.0087,-2.03
2018-04-23,0.9922,0.9922,-1.64
2018-04-24,1.0219,1.0219,2.99
2018-04-25,1.0289,1.0289,0.69
2018-04-26,1.0077,1.0077,-2.06
2018-04-27,1.0216,1.0216,1.38
2018-05-02,1.0195,1.0195,-0.21
2018-05-03,1.0332,1.0332,1.34
2018-05-04,1.0266,1.0266,-0.64
2018-05-07,1.0474,1.0474,2.03
2018-05-08,1.0498,1.0498,0.23
2018-05-09,1.0493,1.0493,-0.05
2018-05-10,1.0547,1.0547,0.51
2018-05-11,1.0377,1.0377,-1.61
2018-05-14,1.036,1.036,-0.16
2018-05-15,1.0512,1.0512,1.47
2018-05-16,1.0449,1.0449,-0.6
2018-05-17,1.0367,1.0367,-0.78
2018-05-18,1.04,1.04,0.32
2018-05-21,1.0539,1.0539,1.34
2018-05-22,1.0613,1.0613,0.7
2018-05-23,1.0446,1.0446,-1.57
2018-05-24,1.0409,1.0409,-0.35
2018-05-25,1.0226,1.0226,-1.76
2018-05-28,1.0187,1.0187,-0.38
2018-05-29,1.006,1.006,-1.25
2018-05-30,0.9801,0.9801,-2.57
2018-05-31,0.9911,0.9911,1.12
2018-06-01,0.9728,0.9728,-1.85
2018-06-04,0.9689,0.9689,-0.4
2018-06-05,0.993,0.993,2.49
2018-06-06,0.9918,0.9918,-0.12
2018-06-07,0.9848,0.9848,-0.71
2018-06-08,0.9745,0.9745,-1.05
2018-06-11,0.9619,0.9619,-1.29
2018-06-12,0.9755,0.9755,1.41
2018-06-13,0.9609,0.9609,-1.5
2018-06-14,0.9539,0.9539,-0.73
2018-06-15,0.937,0.937,-1.77
2018-06-19,0.8849,0.8849,-5.56
2018-06-20,0.8946,0.8946,1.1
2018-06-21,0.8717,0.8717,-2.56
2018-06-22,0.8872,0.8872,1.78
2018-06-25,0.8814,0.8814,-0.65
2018-06-26,0.8957,0.8957,1.62
2018-06-27,0.8853,0.8853,-1.16
2018-06-28,0.884,0.884,-0.15
2018-06-29,0.9188,0.9188,3.94
2018-06-30,0.9188,0.9188,0.0
2018-07-02,0.9085,0.9085,-1.12
2018-07-03,0.9201,0.9201,1.28
2018-07-04,0.8973,0.8973,-2.48
2018-07-05,0.8794,0.8794,-1.99
2018-07-06,0.8848,0.8848,0.61
2018-07-09,0.9084,0.9084,2.67
2018-07-10,0.915,0.915,0.73
2018-07-11,0.8985,0.8985,-1.8
2018-07-12,0.9274,0.9274,3.22
2018-07-13,0.9296,0.9296,0.24
2018-07-16,0.9285,0.9285,-0.12
2018-07-17,0.9314,0.9314,0.31
2018-07-18,0.9235,0.9235,-0.85
2018-07-19,0.9136,0.9136,-1.07
2018-07-20,0.9244,0.9244,1.18
2018-07-23,0.9308,0.9308,0.69
2018-07-24,0.9361,0.9361,0.57
2018-07-25,0.9378,0.9378,0.18
2018-07-26,0.9232,0.9232,-1.56
2018-07-27,0.9166,0.9166,-0.71
2018-07-30,0.8969,0.8969,-2.15
2018-07-31,0.8974,0.8974,0.06
2018-08-01,0.8858,0.8858,-1.29
2018-08-02,0.8674,0.8674,-2.08
2018-08-03,0.8518,0.8518,-1.8
2018-08-06,0.8297,0.8297,-2.59
2018-08-07,0.8511,0.8511,2.58
2018-08-08,0.8332,0.8332,-2.1
2018-08-09,0.8609,0.8609,3.32
2018-08-10,0.8686,0.8686,0.89
2018-08-13,0.8796,0.8796,1.27
2018-08-14,0.8725,0.8725,-0.81
2018-08-15,0.8501,0.8501,-2.57
2018-08-16,0.8418,0.8418,-0.98
2018-08-17,0.8249,0.8249,-2.01
2018-08-20,0.8252,0.8252,0.04
2018-08-21,0.8375,0.8375,1.49
2018-08-22,0.8277,0.8277,-1.17
2018-08-23,0.8365,0.8365,1.06
2018-08-24,0.8335,0.8335,-0.36
2018-08-27,0.8577,0.8577,2.9
2018-08-28,0.8572,0.8572,-0.06
2018-08-29,0.8505,0.8505,-0.78
2018-08-30,0.8375,0.8375,-1.53
2018-08-31,0.8245,0.8245,-1.55
2018-09-03,0.8292,0.8292,0.57
2018-09-04,0.8358,0.8358,0.8
2018-09-05,0.8218,0.8218,-1.68
2018-09-06,0.8178,0.8178,-0.49
2018-09-07,0.8194,0.8194,0.2
2018-09-10,0.8002,0.8002,-2.34
2018-09-11,0.8024,0.8024,0.27
2018-09-12,0.7968,0.7968,-0.7
2018-09-13,0.7995,0.7995,0.34
2018-09-14,0.786,0.786,-1.69
2018-09-17,0.7768,0.7768,-1.17
2018-09-18,0.7925,0.7925,2.02
2018-09-19,0.801,0.801,1.07
2018-09-20,0.7985,0.7985,-0.31
2018-09-21,0.8116,0.8116,1.64
2018-09-25,0.8084,0.8084,-0.39
2018-09-26,0.8168,0.8168,1.04
2018-09-27,0.8053,0.8053,-1.41
2018-09-28,0.8115,0.8115,0.77
2018-10-08,0.7786,0.7786,-4.05
2018-10-09,0.7749,0.7749,-0.48
2018-10-10,0.7754,0.7754,0.06
2018-10-11,0.7266,0.7266,-6.29
2018-10-12,0.7298,0.7298,0.44
2018-10-15,0.7192,0.7192,-1.45
2018-10-16,0.7002,0.7002,-2.64
2018-10-17,0.7093,0.7093,1.3
2018-10-18,0.6935,0.6935,-2.23
2018-10-19,0.7191,0.7191,3.69
2018-10-22,0.756,0.756,5.13
2018-10-23,0.7431,0.7431,-1.71
2018-10-24,0.7385,0.7385,-0.62
2018-10-25,0.7326,0.7326,-0.8
2018-10-26,0.727,0.727,-0.76
2018-10-29,0.7199,0.7199,-0.98
2018-10-30,0.7252,0.7252,0.74
2018-10-31,0.7342,0.7342,1.24
2018-11-01,0.7403,0.7403,0.83
2018-11-02,0.775,0.775,4.69
2018-11-05,0.7754,0.7754,0.05
2018-11-06,0.7754,0.7754,0.0
2018-11-07,0.7736,0.7736,-0.23
2018-11-08,0.7648,0.7648,-1.14
2018-11-09,0.7608,0.7608,-0.52
2018-11-12,0.787,0.787,3.44
2018-11-13,0.8005,0.8005,1.72
2018-11-14,0.797,0.797,-0.44
2018-11-15,0.808,0.808,1.38
2018-11-16,0.8068,0.8068,-0.15
2018-11-19,0.8018,0.8018,-0.62
2018-11-20,0.7797,0.7797,-2.76
2018-11-21,0.7843,0.7843,0.59
2018-11-22,0.7793,0.7793,-0.64
2018-11-23,0.7535,0.7535,-3.31
2018-11-26,0.751,0.751,-0.33
2018-11-27,0.7572,0.7572,0.83
2018-11-28,0.7716,0.7716,1.9
2018-11-29,0.756,0.756,-2.02
2018-11-30,0.7655,0.7655,1.26
2018-12-03,0.7905,0.7905,3.27
2018-12-04,0.794,0.794,0.44
2018-12-05,0.7957,0.7957,0.21
2018-12-06,0.7754,0.7754,-2.55
2018-12-07,0.7725,0.7725,-0.37
2018-12-10,0.7641,0.7641,-1.09
2018-12-11,0.7705,0.7705,0.84
2018-12-12,0.7706,0.7706,0.01
2018-12-13,0.776,0.776,0.7
2018-12-14,0.7544,0.7544,-2.78
2018-12-17,0.7479,0.7479,-0.86
2018-12-18,0.7447,0.7447,-0.43
2018-12-19,0.7308,0.7308,-1.87
2018-12-20,0.7362,0.7362,0.74
2018-12-21,0.732,0.732,-0.57
2018-12-24,0.7402,0.7402,1.12
2018-12-25,0.7343,0.7343,-0.8
2018-12-26,0.7291,0.7291,-0.71
2018-12-27,0.7198,0.7198,-1.28
2018-12-28,0.7213,0.7213,0.21
2018-12-31,0.7213,0.7213,0.0
2019-01-02,0.7093,0.7093,-1.66
2019-01-03,0.7016,0.7016,-1.09
2019-01-04,0.7194,0.7194,2.54
2019-01-07,0.7325,0.7325,1.82
2019-01-08,0.7301,0.7301,-0.33
2019-01-09,0.7294,0.7294,-0.1
2019-01-10,0.7275,0.7275,-0.26
2019-01-11,0.729,0.729,0.21
2019-01-14,0.7202,0.7202,-1.21
2019-01-15,0.7317,0.7317,1.6
2019-01-16,0.7322,0.7322,0.07
2019-01-17,0.7234,0.7234,-1.2
2019-01-18,0.7332,0.7332,1.35
2019-01-21,0.7362,0.7362,0.41
2019-01-22,0.7233,0.7233,-1.75
2019-01-23,0.7224,0.7224,-0.12
2019-01-24,0.7313,0.7313,1.23
2019-01-25,0.7308,0.7308,-0.07
2019-01-28,0.7275,0.7275,-0.45
2019-01-29,0.718,0.718,-1.31
2019-01-30,0.7101,0.7101,-1.1
2019-01-31,0.708,0.708,-0.3
2019-02-01,0.7327,0.7327,3.49
2019-02-11,0.7584,0.7584,3.51
2019-02-12,0.768,0.768,1.27
2019-02-13,0.7821,0.7821,1.84
2019-02-14,0.7843,0.7843,0.28
2019-02-15,0.7826,0.7826,-0.22
2019-02-18,0.8149,0.8149,4.13
2019-02-19,0.8111,0.8111,-0.47
2019-02-20,0.8131,0.8131,0.25
2019-02-21,0.8155,0.8155,0.3
2019-02-22,0.8405,0.8405,3.07
2019-02-25,0.8856,0.8856,5.37
2019-02-26,0.8923,0.8923,0.76
2019-02-27,0.8776,0.8776,-1.65
2019-02-28,0.885,0.885,0.84
2019-03-01,0.9037,0.9037,2.11
2019-03-04,0.934,0.934,3.35
2019-03-05,0.9676,0.9676,3.6
2019-03-06,0.9819,0.9819,1.48
2019-03-07,0.9787,0.9787,-0.33
2019-03-08,0.9569,0.9569,-2.23
2019-03-11,0.998,0.998,4.3
2019-03-12,1.0253,1.0253,2.74
2019-03-13,0.9797,0.9797,-4.45
2019-03-14,0.9533,0.9533,-2.69
2019-03-15,0.9604,0.9604,0.74
2019-03-18,0.9858,0.9858,2.64
2019-03-19,0.9871,0.9871,0.13
2019-03-20,0.9751,0.9751,-1.22
2019-03-21,0.9846,0.9846,0.97
2019-03-22,0.9787,0.9787,-0.6
2019-03-25,0.9644,0.9644,-1.46
2019-03-26,0.9422,0.9422,-2.3
2019-03-27,0.9464,0.9464,0.45
2019-03-28,0.9401,0.9401,-0.67
2019-03-29,0.9778,0.9778,4.01
2019-04-01,1.0163,1.0163,3.94
2019-04-02,1.0125,1.0125,-0.37
2019-04-03,1.0211,1.0211,0.85
2019-04-04,1.0266,1.0266,0.54
2019-04-08,1.0057,1.0057,-2.04
2019-04-09,1.0068,1.0068,0.11
2019-04-10,0.9986,0.9986,-0.81
2019-04-11,0.9787,0.9787,-1.99
2019-04-12,0.9809,0.9809,0.22
2019-04-15,0.9647,0.9647,-1.65
2019-04-16,0.9826,0.9826,1.86
2019-04-17,0.9944,0.9944,1.2
2019-04-18,0.987,0.987,-0.74
2019-04-19,0.9936,0.9936,0.67
2019-04-22,0.9834,0.9834,-1.03
2019-04-23,0.9748,0.9748,-0.87
