date,unit_nav,cum_nav,ret_pct
2013-12-05,1.0,1.0,0.0
2013-12-06,1.0002,1.0002,0.02
2013-12-13,1.0005,1.0005,0.03
2013-12-20,1.0029,1.0029,0.24
2013-12-27,1.005,1.005,0.21
2013-12-31,1.006,1.006,0.0
2014-01-03,1.0049,1.0049,0.0
2014-01-08,1.0064,1.0064,0.15
2014-01-14,1.0068,1.0068,0.0
2014-01-16,1.0073,1.0073,0.0
2014-01-17,1.0063,1.0063,-0.1
2014-01-22,1.0093,1.0093,0.0
2014-01-23,1.0025,1.0025,-0.67
2014-01-28,0.9845,0.9845,0.0
2014-01-29,0.9752,0.9752,-0.94
2014-01-30,0.9821,0.9821,0.71
2014-02-07,0.9882,0.9882,0.62
2014-02-10,0.9911,0.9911,0.29
2014-02-11,1.0026,1.0026,1.16
2014-02-12,1.0033,1.0033,0.07
2014-02-18,1.0151,1.0151,0.0
2014-02-20,1.0157,1.0157,0.0
2014-02-24,1.0205,1.0205,0.0
2014-02-27,1.0249,1.0249,0.0
2014-02-28,1.0277,1.0277,0.27
2014-03-04,1.036,1.036,0.0
2014-03-05,1.0365,1.0365,0.05
2014-03-06,1.0383,1.0383,0.17
2014-03-07,1.0381,1.0381,-0.02
2014-03-10,1.0394,1.0394,0.13
2014-03-19,1.031,1.031,0.0
2014-03-20,1.0395,1.0395,0.82
2014-03-24,1.0311,1.0311,0.0
2014-03-25,1.0354,1.0354,0.42
2014-03-26,1.0282,1.0282,-0.7
2014-03-27,1.0269,1.0269,-0.13
2014-03-28,1.0321,1.0321,0.51
2014-03-31,1.0406,1.0406,0.82
2014-04-02,1.0503,1.0503,0.0
2014-04-03,1.0497,1.0497,-0.06
2014-04-08,1.0295,1.0295,0.0
2014-04-09,1.0401,1.0401,1.03
2014-04-10,1.0189,1.0189,-2.04
2014-04-11,1.0092,1.0092,-0.95
2014-04-14,1.0178,1.0178,0.85
2014-04-15,1.0254,1.0254,0.75
2014-04-16,1.036,1.036,1.03
2014-04-17,1.0374,1.0374,0.14
2014-04-18,1.0374,1.0374,0.0
2014-04-21,1.0409,1.0409,0.34
2014-04-24,1.0447,1.0447,0.0
2014-04-25,1.0361,1.0361,-0.82
2014-04-29,1.0439,1.0439,0.0
2014-04-30,1.0474,1.0474,0.34
2014-05-05,1.0473,1.0473,-0.01
2014-05-07,1.044,1.044,0.0
2014-05-08,1.043,1.043,-0.1
2014-05-09,1.045,1.045,0.19
2014-05-12,1.0558,1.0558,1.03
2014-05-13,1.0566,1.0566,0.08
2014-05-14,1.0521,1.0521,-0.43
2014-05-15,1.0421,1.0421,-0.95
2014-05-16,1.0455,1.0455,0.33
2014-05-19,1.0496,1.0496,0.39
2014-05-20,1.0425,1.0425,-0.68
2014-05-21,1.0515,1.0515,0.86
2014-05-22,1.0543,1.0543,0.27
2014-05-23,1.0591,1.0591,0.46
2014-05-27,1.0654,1.0654,0.0
2014-05-28,1.0645,1.0645,-0.08
2014-05-29,1.0704,1.0704,0.55
2014-05-30,1.0722,1.0722,0.17
2014-06-03,1.0728,1.0728,0.06
2014-06-04,1.0747,1.0747,0.18
2014-06-05,1.082,1.082,0.68
2014-06-06,1.0857,1.0857,0.34
2014-06-09,1.0842,1.0842,-0.14
2014-06-10,1.0834,1.0834,-0.07
2014-06-11,1.0806,1.0806,-0.26
2014-06-12,1.0733,1.0733,-0.68
2014-06-13,1.0764,1.0764,0.29
2014-06-16,1.0778,1.0778,0.13
2014-06-17,1.0793,1.0793,0.14
2014-06-18,1.0881,1.0881,0.82
2014-06-19,1.0891,1.0891,0.09
2014-06-20,1.0908,1.0908,0.16
2014-06-23,1.0911,1.0911,0.03
2014-06-24,1.0841,1.0841,-0.64
2014-06-25,1.0893,1.0893,0.48
2014-06-26,1.0875,1.0875,-0.17
2014-06-27,1.0896,1.0896,0.19
2014-06-30,1.0877,1.0877,-0.17
2014-07-01,1.0947,1.0947,0.64
2014-07-02,1.0949,1.0949,0.02
2014-07-03,1.1017,1.1017,0.62
2014-07-07,1.0987,1.0987,0.0
2014-07-08,1.0908,1.0908,-0.72
2014-07-09,1.0948,1.0948,0.37
2014-07-10,1.0881,1.0881,-0.61
2014-07-11,1.0903,1.0903,0.2
2014-07-14,1.0956,1.0956,0.49
2014-07-15,1.0935,1.0935,-0.19
2014-07-16,1.0989,1.0989,0.49
2014-07-17,1.0866,1.0866,-1.12
2014-07-18,1.0976,1.0976,1.01
2014-07-21,1.0946,1.0946,-0.27
2014-07-22,1.1,1.1,0.49
2014-07-23,1.1025,1.1025,0.23
2014-07-24,1.103,1.103,0.05
2014-07-25,1.098,1.098,-0.45
2014-07-28,1.0987,1.0987,0.06
2014-07-29,1.0935,1.0935,-0.47
2014-07-30,1.0943,1.0943,0.07
2014-07-31,1.0729,1.0729,-1.96
2014-08-01,1.0698,1.0698,-0.29
2014-08-04,1.0771,1.0771,0.68
2014-08-05,1.0666,1.0666,-0.97
2014-08-06,1.0673,1.0673,0.07
2014-08-07,1.0615,1.0615,-0.54
2014-08-08,1.0718,1.0718,0.97
2014-08-11,1.0743,1.0743,0.23
2014-08-12,1.0726,1.0726,-0.16
2014-08-13,1.0803,1.0803,0.72
2014-08-14,1.0852,1.0852,0.45
2014-08-15,1.0851,1.0851,-0.01
2014-08-18,1.0941,1.0941,0.83
2014-08-19,1.1001,1.1001,0.55
2014-08-20,1.1034,1.1034,0.3
2014-08-21,1.1076,1.1076,0.38
2014-08-22,1.1053,1.1053,-0.21
2014-08-25,1.1111,1.1111,0.52
2014-08-26,1.1125,1.1125,0.13
2014-08-27,1.1125,1.1125,0.0
2014-08-28,1.1105,1.1105,-0.18
2014-08-29,1.1144,1.1144,0.35
2014-09-02,1.1143,1.1143,0.0
2014-09-03,1.1139,1.1139,-0.04
2014-09-04,1.1117,1.1117,-0.2
2014-09-05,1.1179,1.1179,0.56
2014-09-09,1.1041,1.1041,-1.23
2014-09-10,1.1065,1.1065,0.22
2014-09-11,1.1082,1.1082,0.15
2014-09-12,1.1018,1.1018,-0.58
2014-09-15,1.1007,1.1007,-0.1
2014-09-16,1.1091,1.1091,0.76
2014-09-17,1.1103,1.1103,0.11
2014-09-18,1.1165,1.1165,0.56
2014-09-19,1.1154,1.1154,-0.1
2014-09-22,1.1068,1.1068,-0.77
2014-09-23,1.1002,1.1002,-0.6
2014-09-24,1.1087,1.1087,0.77
2014-09-25,1.0915,1.0915,-1.55
2014-09-26,1.1011,1.1011,0.88
2014-09-29,1.0988,1.0988,-0.21
2014-09-30,1.0956,1.0956,0.0
2014-10-08,1.0933,1.0933,-0.21
2014-10-09,1.0702,1.0702,-2.11
2014-10-10,1.058,1.058,-1.14
2014-10-13,1.0401,1.0401,-1.69
2014-10-14,1.0413,1.0413,0.12
2014-10-15,1.0331,1.0331,-0.79
2014-10-16,1.0324,1.0324,-0.07
2014-10-17,1.046,1.046,1.32
2014-10-20,1.056,1.056,0.96
2014-10-21,1.0762,1.0762,1.91
2014-10-22,1.0689,1.0689,-0.68
2014-10-23,1.0823,1.0823,1.25
2014-10-24,1.09,1.09,0.71
2014-10-27,1.088,1.088,-0.18
2014-10-28,1.1005,1.1005,1.15
2014-10-29,1.0986,1.0986,-0.17
2014-10-30,1.1066,1.1066,0.73
2014-10-31,1.1196,1.1196,1.17
2014-11-03,1.1205,1.1205,0.08
2014-11-04,1.1176,1.1176,-0.26
2014-11-05,1.1236,1.1236,0.54
2014-11-06,1.1293,1.1293,0.51
2014-11-07,1.1304,1.1304,0.1
2014-11-10,1.1299,1.1299,-0.04
2014-11-11,1.1313,1.1313,0.12
2014-11-12,1.1311,1.1311,-0.02
2014-11-13,1.1314,1.1314,0.03
2014-11-14,1.1314,1.1314,0.0
2014-11-17,1.1324,1.1324,0.09
2014-11-18,1.1387,1.1387,0.56
2014-11-19,1.1365,1.1365,-0.19
2014-11-20,1.1391,1.1391,0.23
2014-11-21,1.1445,1.1445,0.47
2014-11-24,1.1483,1.1483,0.33
2014-11-25,1.1466,1.1466,-0.15
2014-11-26,1.1493,1.1493,0.24
2014-11-28,1.1463,1.1463,0.0
2014-12-01,1.1388,1.1388,-0.65
2014-12-02,1.1454,1.1454,0.58
2014-12-03,1.1508,1.1508,0.47
2014-12-04,1.1501,1.1501,-0.06
2014-12-05,1.1514,1.1514,0.11
2014-12-08,1.1415,1.1415,-0.86
2014-12-09,1.1405,1.1405,-0.09
2014-12-10,1.121,1.121,-1.71
2014-12-11,1.1254,1.1254,0.39
2014-12-12,1.1077,1.1077,-1.57
2014-12-15,1.1006,1.1006,-0.64
2014-12-16,1.0917,1.0917,-0.81
2014-12-17,1.1132,1.1132,1.97
2014-12-18,1.1412,1.1412,2.52
2014-12-19,1.1466,1.1466,0.47
2014-12-22,1.1511,1.1511,0.39
2014-12-23,1.1535,1.1535,0.21
2014-12-24,1.1536,1.1536,0.01
2014-12-26,1.1562,1.1562,0.0
2014-12-29,1.1584,1.1584,0.19
2014-12-30,1.1532,1.1532,-0.45
2014-12-31,1.1406,1.1406,-1.09
2015-01-05,1.1205,1.1205,-1.76
2015-01-06,1.1105,1.1105,-0.89
2015-01-07,1.1239,1.1239,1.21
2015-01-08,1.1446,1.1446,1.84
2015-01-09,1.1346,1.1346,-0.87
2015-01-12,1.1241,1.1241,-0.93
2015-01-13,1.1206,1.1206,-0.31
2015-01-14,1.1144,1.1144,-0.55
2015-01-15,1.1037,1.1037,-0.96
2015-01-16,1.1183,1.1183,1.32
2015-01-20,1.121,1.121,0.0
2015-01-21,1.1272,1.1272,0.55
2015-01-22,1.1439,1.1439,1.48
2015-01-23,1.1393,1.1393,-0.4
2015-01-26,1.143,1.143,0.32
2015-01-27,1.1277,1.1277,-1.34
2015-01-28,1.1107,1.1107,-1.51
2015-01-29,1.1226,1.1226,1.07
2015-01-30,1.1084,1.1084,-1.26
2015-02-02,1.1231,1.1231,1.33
2015-02-03,1.1389,1.1389,1.41
2015-02-04,1.1334,1.1334,-0.48
2015-02-05,1.1462,1.1462,1.13
2015-02-06,1.1409,1.1409,-0.46
2015-02-09,1.1367,1.1367,-0.37
2015-02-10,1.1485,1.1485,1.04
2015-02-11,1.1492,1.1492,0.06
2015-02-12,1.1608,1.1608,1.01
2015-02-13,1.1648,1.1648,0.34
2015-02-16,1.1648,1.1648,0.0
2015-02-17,1.1674,1.1674,0.22
2015-02-25,1.1761,1.1761,0.75
2015-02-26,1.1745,1.1745,-0.14
2015-02-27,1.1727,1.1727,-0.15
2015-03-02,1.1805,1.1805,0.67
2015-03-03,1.1757,1.1757,-0.41
2015-03-04,1.1703,1.1703,-0.46
2015-03-05,1.1718,1.1718,0.13
2015-03-06,1.1555,1.1555,-1.39
2015-03-09,1.1606,1.1606,0.44
2015-03-10,1.1414,1.1414,-1.65
2015-03-11,1.1398,1.1398,-0.14
2015-03-12,1.1548,1.1548,1.32
2015-03-13,1.1472,1.1472,-0.66
2015-03-16,1.1631,1.1631,1.39
2015-03-17,1.1587,1.1587,-0.38
2015-03-18,1.1722,1.1722,1.17
2015-03-19,1.1646,1.1646,-0.65
2015-03-20,1.1757,1.1757,0.95
2015-03-23,1.1727,1.1727,-0.26
2015-03-24,1.1647,1.1647,-0.68
2015-03-25,1.1481,1.1481,-1.43
