date,unit_nav,cum_nav,ret_pct
2012-06-14,1.0,1.0,0.0
2012-06-15,1.0,1.0,0.0
2012-06-21,0.999,0.999,-0.1
2012-06-29,0.9995,0.9995,0.05
2012-06-30,0.9996,0.9996,0.01
2012-07-06,0.9999,0.9999,0.03
2012-07-12,0.9992,0.9992,-0.07
2012-07-13,1.0013,1.0013,0.21
2012-07-16,1.001,1.001,-0.03
2012-07-17,1.0046,1.0046,0.36
2012-07-18,1.0078,1.0078,0.32
2012-07-19,1.0095,1.0095,0.17
2012-07-20,0.9973,0.9973,-1.21
2012-07-23,0.9906,0.9906,-0.67
2012-07-24,0.9827,0.9827,-0.8
2012-07-25,0.9856,0.9856,0.3
2012-07-26,0.9987,0.9987,1.33
2012-07-27,1.0158,1.0158,1.71
2012-07-30,1.0147,1.0147,-0.11
2012-07-31,1.0109,1.0109,-0.37
2012-08-01,1.0085,1.0085,-0.24
2012-08-02,1.0027,1.0027,-0.58
2012-08-03,1.0237,1.0237,2.09
2012-08-06,1.0246,1.0246,0.09
2012-08-07,1.0296,1.0296,0.49
2012-08-08,1.0312,1.0312,0.16
2012-08-09,1.0324,1.0324,0.12
2012-08-10,1.0361,1.0361,0.36
2012-08-13,1.0351,1.0351,-0.1
2012-08-14,1.0352,1.0352,0.01
2012-08-15,1.0371,1.0371,0.18
2012-08-16,1.0448,1.0448,0.74
2012-08-17,1.0456,1.0456,0.08
2012-08-20,1.0466,1.0466,0.1
2012-08-21,1.0424,1.0424,-0.4
2012-08-22,1.0415,1.0415,-0.09
2012-08-23,1.0318,1.0318,-0.93
2012-08-24,1.0387,1.0387,0.67
2012-08-27,1.0393,1.0393,0.06
2012-08-28,1.0388,1.0388,-0.05
2012-08-29,1.0393,1.0393,0.05
2012-08-30,1.0319,1.0319,-0.71
2012-08-31,1.0374,1.0374,0.53
2012-09-04,1.0354,1.0354,-0.19
2012-09-05,1.0351,1.0351,-0.03
2012-09-06,1.056,1.056,2.02
2012-09-07,1.06,1.06,0.38
2012-09-10,1.0523,1.0523,-0.73
2012-09-11,1.0557,1.0557,0.32
2012-09-12,1.0581,1.0581,0.23
2012-09-13,1.0746,1.0746,1.56
2012-09-14,1.0787,1.0787,0.38
2012-09-17,1.0747,1.0747,-0.37
2012-09-18,1.0742,1.0742,-0.05
2012-09-19,1.0759,1.0759,0.16
2012-09-20,1.0472,1.0752,-0.07
2012-09-21,1.0476,1.0756,0.04
2012-09-24,1.0451,1.0731,-0.24
2012-09-25,1.0346,1.0626,-1.0
2012-09-26,1.0288,1.0568,-0.56
2012-09-27,1.0388,1.0668,0.97
2012-09-28,1.0333,1.0613,-0.53
2012-09-30,1.0331,1.0611,-0.02
2012-10-08,1.0437,1.0717,1.03
2012-10-09,1.0336,1.0616,-0.97
2012-10-10,1.0272,1.0552,-0.62
2012-10-11,1.0266,1.0546,-0.06
2012-10-12,1.0212,1.0492,-0.53
2012-10-15,1.0274,1.0554,0.61
2012-10-16,1.0375,1.0655,0.98
2012-10-17,1.0419,1.0699,0.42
2012-10-18,1.0389,1.0669,-0.29
2012-10-19,1.022,1.05,-1.63
2012-10-22,1.0234,1.0514,0.14
2012-10-23,1.0088,1.0368,-1.43
2012-10-24,1.0069,1.0349,-0.19
2012-10-25,1.0102,1.0382,0.33
2012-10-26,1.009,1.037,-0.12
2012-10-31,1.0092,1.0372,0.02
2012-11-01,1.0206,1.0486,1.13
2012-11-02,1.0109,1.0389,-0.95
2012-11-05,1.0146,1.0426,0.37
2012-11-06,1.0229,1.0509,0.82
2012-11-07,0.9991,1.0271,-2.33
2012-11-08,0.9869,1.0149,-1.22
2012-11-09,0.9876,1.0156,0.07
2012-11-12,0.9857,1.0137,-0.19
2012-11-13,0.9814,1.0094,-0.44
2012-11-14,0.9679,0.9959,-1.38
2012-11-15,0.9668,0.9948,-0.11
2012-11-16,0.9718,0.9998,0.52
2012-11-19,0.9913,1.0193,2.01
2012-11-20,0.9914,1.0194,0.01
2012-11-21,0.9933,1.0213,0.19
2012-11-23,1.006,1.034,1.28
2012-11-26,1.0035,1.0315,-0.25
2012-11-27,0.9979,1.0259,-0.56
2012-11-28,1.0066,1.0346,0.87
2012-11-29,1.0112,1.0392,0.46
2012-11-30,1.0109,1.0389,-0.03
2012-12-03,1.007,1.035,-0.39
2012-12-04,1.005,1.033,-0.2
2012-12-05,1.007,1.035,0.2
2012-12-06,1.0111,1.0391,0.41
2012-12-07,1.0143,1.0423,0.32
2012-12-10,1.0146,1.0426,0.03
2012-12-11,1.02,1.048,0.53
2012-12-12,1.02,1.048,0.0
2012-12-13,1.0136,1.0416,-0.63
2012-12-14,1.0102,1.0382,-0.34
2012-12-17,1.021,1.049,1.07
2012-12-18,1.0324,1.0604,1.12
2012-12-19,1.0244,1.0524,-0.77
2012-12-20,1.0304,1.0584,0.59
2012-12-21,1.0201,1.0481,-1.0
2012-12-24,1.0179,1.0459,-0.22
2012-12-26,1.0134,1.0414,-0.44
2012-12-27,1.0121,1.0401,-0.13
2012-12-28,0.9994,1.0274,-1.25
