date,open,close,high,low,vol
2007-01-15,1881.47,1986.54,1986.54,1881.47,38812600.0
2007-01-16,2002.57,2055.02,2055.02,1990.87,48074400.0
2007-01-17,2064.29,2035.65,2093.89,1992.54,58832900.0
2007-01-18,2025.85,2085.4,2085.4,2002.66,50949500.0
2007-01-19,2097.5,2159.64,2159.65,2097.5,57925200.0
2007-01-22,2183.44,2258.99,2259.03,2183.44,63589200.0
2007-01-23,2267.45,2261.78,2268.69,2175.6,61080200.0
2007-01-24,2260.71,2283.7,2295.26,2236.57,51041200.0
2007-01-25,2271.52,2174.24,2271.52,2172.98,48175700.0
2007-01-26,2143.99,2186.27,2196.28,2061.66,44759400.0
2007-01-29,2201.59,2260.6,2261.24,2201.59,45646700.0
2007-01-30,2271.47,2255.94,2280.73,2230.65,50247700.0
2007-01-31,2251.32,2142.89,2258.7,2129.79,49046900.0
2007-02-01,2120.01,2165.41,2176.2,2080.16,42338800.0
2007-02-02,2170.03,2127.1,2190.96,2124.3,38610600.0
2007-02-05,2122.37,2152.25,2166.09,2118.87,30134100.0
2007-02-06,2158.5,2198.24,2198.63,2148.1,30876200.0
2007-02-07,2209.65,2237.94,2237.94,2208.38,38327000.0
2007-02-08,2245.08,2278.45,2282.19,2233.52,39053900.0
2007-02-09,2282.63,2287.38,2300.81,2263.61,37161800.0
2007-02-12,2291.66,2341.07,2341.07,2291.66,36188400.0
2007-02-13,2351.65,2384.16,2384.16,2338.56,38163800.0
2007-02-14,2386.83,2435.96,2445.76,2380.74,44065600.0
2007-02-15,2451.44,2512.4,2512.55,2451.32,51516500.0
2007-02-16,2528.84,2541.41,2581.56,2519.23,54056800.0
2007-02-26,2557.25,2642.11,2642.11,2532.1,48963100.0
2007-02-27,2654.44,2405.57,2673.53,2402.72,72404300.0
2007-02-28,2370.95,2513.53,2520.0,2369.05,53025000.0
2007-03-01,2526.15,2459.51,2526.16,2417.84,58828100.0
2007-03-02,2458.26,2503.68,2515.02,2452.97,47238100.0
2007-03-05,2508.39,2511.92,2548.25,2419.29,49536000.0
2007-03-06,2501.29,2516.0,2524.63,2467.68,33321700.0
2007-03-07,2525.53,2580.6,2580.6,2525.47,37230700.0
2007-03-08,2587.75,2634.88,2634.88,2562.5,43077100.0
2007-03-09,2637.6,2638.05,2662.33,2590.44,48031700.0
2007-03-12,2639.89,2696.5,2696.87,2610.4,51367100.0
2007-03-13,2701.5,2727.46,2740.46,2694.38,53596200.0
2007-03-14,2704.45,2708.69,2740.53,2622.75,56580300.0
2007-03-15,2703.93,2760.84,2760.84,2703.57,51009800.0
2007-03-16,2769.15,2710.86,2777.41,2671.96,55633100.0
2007-03-19,2623.74,2751.48,2760.09,2609.31,47649900.0
2007-03-20,2761.01,2810.71,2811.15,2759.0,43559000.0
2007-03-21,2821.44,2859.01,2859.03,2801.93,48276800.0
2007-03-22,2869.75,2861.15,2899.35,2852.67,56005700.0
2007-03-23,2862.63,2898.0,2901.78,2820.99,52272400.0
2007-03-26,2915.05,2989.05,2989.05,2915.05,56736800.0
2007-03-27,2995.46,3039.53,3040.35,2979.13,56957800.0
2007-03-28,3048.5,3004.29,3060.19,2873.38,67009300.0
2007-03-29,3005.06,2894.78,3008.22,2894.74,55994800.0
2007-03-30,2878.24,2926.06,2935.24,2859.73,35962400.0
2007-04-02,2935.21,2993.63,2993.63,2932.64,37673600.0
2007-04-03,3004.9,3042.46,3042.46,2993.19,46767000.0
2007-04-04,3049.92,3078.9,3084.62,3032.49,53126400.0
2007-04-05,3076.76,3133.14,3137.02,3063.42,52801700.0
2007-04-06,3110.95,3182.8,3189.11,3097.06,56252000.0
2007-04-09,3201.15,3240.3,3243.88,3201.15,62143800.0
2007-04-10,3253.67,3261.53,3261.53,3151.49,63556600.0
2007-04-11,3267.61,3309.75,3309.98,3231.31,67723800.0
2007-04-12,3316.2,3387.41,3387.41,3302.36,64707400.0
2007-04-13,3393.96,3358.63,3419.99,3341.27,67535100.0
2007-04-16,3362.73,3458.07,3458.07,3362.73,60396900.0
2007-04-17,3482.36,3558.22,3558.22,3420.31,77944200.0
2007-04-18,3572.7,3649.71,3652.72,3548.36,71614000.0
2007-04-19,3642.85,3435.78,3642.85,3356.02,78014300.0
2007-04-20,3456.74,3614.39,3624.82,3456.74,62251100.0
2007-04-23,3667.55,3782.26,3784.08,3667.55,73720000.0
2007-04-24,3813.53,3821.42,3861.57,3753.13,81814300.0
2007-04-25,3802.69,3805.05,3822.41,3712.04,64389300.0
2007-04-26,3814.92,3853.27,3854.05,3788.87,55433400.0
2007-04-27,3861.05,3845.81,3871.4,3801.55,58297400.0
2007-04-30,3831.55,3903.69,3909.04,3809.97,65571200.0
2007-05-08,3990.71,4091.13,4093.01,3972.03,73124000.0
2007-05-09,4107.55,4099.13,4125.42,3918.75,83052500.0
2007-05-10,4103.57,4128.08,4146.58,4062.48,68513900.0
2007-05-11,4101.65,4109.4,4130.9,4028.36,60242800.0
2007-05-14,4051.84,4133.83,4164.81,4014.56,58751400.0
2007-05-15,4140.33,3998.78,4161.52,3989.36,64001800.0
2007-05-16,3981.82,4118.14,4118.24,3929.51,55559400.0
2007-05-17,4146.32,4221.91,4235.05,4135.37,62708700.0
2007-05-18,4219.61,4235.19,4261.46,4188.32,59209700.0
2007-05-21,4089.85,4364.16,4364.16,4076.52,71621700.0
2007-05-22,4402.92,4459.81,4484.53,4402.76,80650700.0
