date,close,pct
20110101,687.02,2.16
20110104,687.02,2.16
20110105,679.08,-1.16
20110106,678.82,-0.04
20110107,688.54,1.43
20110110,670.47,-2.62
20110111,677.39,1.03
20110112,680.91,0.52
20110113,677.13,-0.55
20110114,664.31,-1.89
20110117,637.5,-4.04
20110118,638.55,0.16
20110119,649.02,1.64
20110120,626.45,-3.48
20110121,638.78,1.97
20110124,633.12,-0.89
20110125,636.89,0.6
20110126,641.57,0.74
20110127,656.59,2.34
20110128,654.62,-0.3
20110131,658.22,0.55
20110201,657.4,-0.12
20110209,643.29,-2.15
20110210,659.19,2.47
20110211,660.69,0.23
20110214,722.86,9.41
20110215,719.88,-0.41
20110216,726.05,0.86
20110217,716.59,-1.3
20110218,712.94,-0.51
20110221,727.86,2.09
20110222,695.92,-4.39
20110223,696.82,0.13
20110224,718.45,3.1
20110225,718.13,-0.04
20110228,731.28,1.83
20110301,732.09,0.11
20110302,721.03,-1.51
20110303,712.38,-1.2
20110304,724.19,1.66
20110307,740.32,2.23
20110308,739.48,-0.11
20110309,747.07,1.03
20110310,724.88,-2.97
20110311,716.15,-1.2
20110314,716.41,0.04
20110315,696.41,-2.79
20110316,708.07,1.67
20110317,690.32,-2.51
20110318,701.01,1.55
20110321,694.49,-0.93
20110322,698.91,0.64
20110323,706.39,1.07
20110324,702.18,-0.6
20110325,709.97,1.11
20110328,710.83,0.12
20110329,706.48,-0.61
20110330,692.89,-1.92
20110331,693.54,0.09
20110401,704.17,1.53
20110406,724.5,2.89
20110407,720.55,-0.55
20110408,726.97,0.89
20110411,716.99,-1.37
20110412,715.74,-0.18
20110413,730.96,2.13
20110414,724.15,-0.93
20110415,729.53,0.74
20110418,723.79,-0.79
20110419,703.01,-2.87
20110420,700.68,-0.33
20110421,710.05,1.34
20110422,702.83,-1.02
20110425,689.81,-1.85
20110426,677.41,-1.8
20110427,675.36,-0.3
20110428,665.09,-1.52
20110429,667.59,0.38
20110503,669.06,0.22
20110504,648.27,-3.11
20110505,648.69,0.06
20110506,648.23,-0.07
20110509,650.71,0.38
20110510,658.48,1.19
20110511,653.44,-0.77
20110512,645.71,-1.18
20110513,656.77,1.71
20110516,651.07,-0.87
20110517,653.84,0.43
20110518,655.35,0.23
20110519,649.61,-0.88
20110520,649.3,-0.05
20110523,624.97,-3.75
20110524,624.35,-0.1
20110525,617.35,-1.12
20110526,624.97,1.23
20110527,625.99,0.16
20110530,622.94,-0.49
20110531,634.41,1.84
