date,unit_nav,cum_nav,ret_pct
2015-06-10,1.0,1.0,0.0
2015-06-12,1.0,1.0,0.0
2015-06-19,0.9995,0.9995,0.0
2015-06-26,0.9953,0.9953,0.0
2015-06-30,0.9914,0.9914,0.0
2015-07-09,0.9891,0.9891,0.0
2015-07-10,0.992,0.992,0.29
2015-07-13,0.9979,0.9979,0.59
2015-07-14,1.0011,1.0011,0.32
2015-07-15,1.0017,1.0017,0.06
2015-07-16,1.0113,1.0113,0.96
2015-07-17,1.0202,1.0202,0.88
2015-07-20,1.0244,1.0244,0.41
2015-07-21,1.0221,1.0221,-0.22
2015-07-22,1.0121,1.0121,-0.98
2015-07-23,1.0119,1.0119,-0.02
2015-07-24,0.9962,0.9962,-1.55
2015-07-27,0.986,0.986,-1.02
2015-07-28,0.9917,0.9917,0.58
2015-07-29,0.9935,0.9935,0.18
2015-07-30,1.0,1.0,0.65
2015-07-31,0.9972,0.9972,-0.28
2015-08-03,0.9943,0.9943,-0.29
2015-08-04,0.9881,0.9881,-0.62
2015-08-05,0.9976,0.9976,0.96
2015-08-06,0.9822,0.9822,-1.54
2015-08-07,0.9806,0.9806,-0.16
2015-08-10,0.9912,0.9912,1.08
2015-08-11,0.9849,0.9849,-0.64
2015-08-12,0.9951,0.9951,1.04
2015-08-13,0.9945,0.9945,-0.06
2015-08-14,0.9976,0.9976,0.31
2015-08-17,1.0049,1.0049,0.73
2015-08-18,1.0,1.0,-0.49
2015-08-19,0.9906,0.9906,-0.94
2015-08-20,0.9586,0.9586,-3.23
2015-08-21,0.9215,0.9215,-3.87
2015-08-24,0.8786,0.8786,-4.66
2015-08-25,0.8853,0.8853,0.76
2015-08-26,0.9236,0.9236,4.33
2015-08-27,0.9483,0.9483,2.67
2015-08-28,0.9483,0.9483,0.0
2015-08-31,0.9338,0.9338,-1.53
2015-09-01,0.9076,0.9076,-2.81
2015-09-02,0.9281,0.9281,2.26
2015-09-07,0.913,0.913,-1.63
2015-09-08,0.9366,0.9366,2.58
2015-09-09,0.9269,0.9269,-1.04
2015-09-10,0.9375,0.9375,1.14
2015-09-11,0.9431,0.9431,0.6
2015-09-14,0.9396,0.9396,-0.37
2015-09-15,0.9503,0.9503,1.14
2015-09-16,0.9577,0.9577,0.78
2015-09-17,0.9546,0.9546,-0.32
2015-09-18,0.9426,0.9426,-1.26
2015-09-21,0.9421,0.9421,-0.05
2015-09-22,0.927,0.927,-1.6
2015-09-23,0.9269,0.9269,-0.01
2015-09-24,0.9236,0.9236,-0.36
2015-09-25,0.9159,0.9159,-0.83
2015-09-28,0.8865,0.8865,-3.21
2015-09-29,0.8811,0.8811,-0.61
2015-09-30,0.9013,0.9013,2.29
2015-10-08,0.9369,0.9369,3.95
2015-10-09,0.941,0.941,0.44
2015-10-12,0.9422,0.9422,0.13
2015-10-13,0.9331,0.9331,-0.97
2015-10-14,0.9344,0.9344,0.14
2015-10-15,0.9496,0.9496,1.63
2015-10-16,0.9545,0.9545,0.52
