date,close
2016-08-08,1.004
2016-08-09,1.012
2016-08-10,1.01
2016-08-11,1.014
2016-08-12,1.037
2016-08-15,1.097
2016-08-16,1.086
2016-08-17,1.08
2016-08-18,1.068
2016-08-19,1.068
2016-08-22,1.045
2016-08-23,1.056
2016-08-24,1.049
2016-08-25,1.054
2016-08-26,1.048
2016-08-29,1.049
2016-08-30,1.054
2016-08-31,1.061
2016-09-01,1.044
2016-09-02,1.051
2016-09-05,1.054
2016-09-06,1.057
2016-09-07,1.056
2016-09-08,1.054
2016-09-09,1.049
2016-09-12,1.023
2016-09-13,1.02
2016-09-14,1.012
2016-09-19,1.015
2016-09-20,1.013
2016-09-21,1.02
2016-09-22,1.02
2016-09-23,1.016
2016-09-26,0.998
2016-09-27,1.008
2016-09-28,1.002
2016-09-29,1.016
2016-09-30,1.017
2016-10-10,1.03
2016-10-11,1.032
2016-10-12,1.029
2016-10-13,1.03
2016-10-14,1.03
2016-10-17,1.013
2016-10-18,1.036
2016-10-19,1.032
2016-10-20,1.031
2016-10-21,1.035
2016-10-24,1.061
2016-10-25,1.054
2016-10-26,1.051
2016-10-27,1.053
2016-10-28,1.06
2016-10-31,1.06
2016-11-01,1.07
2016-11-02,1.064
2016-11-03,1.089
2016-11-04,1.083
2016-11-07,1.089
2016-11-08,1.091
2016-11-09,1.078
2016-11-10,1.095
2016-11-11,1.133
2016-11-14,1.142
2016-11-15,1.132
2016-11-16,1.14
2016-11-17,1.136
2016-11-18,1.119
2016-11-21,1.119
2016-11-22,1.135
2016-11-23,1.126
2016-11-24,1.137
2016-11-25,1.141
2016-11-28,1.136
2016-11-29,1.139
2016-11-30,1.13
2016-12-01,1.141
2016-12-02,1.119
2016-12-05,1.083
2016-12-06,1.082
2016-12-07,1.089
2016-12-08,1.078
2016-12-09,1.082
2016-12-12,1.051
2016-12-13,1.053
2016-12-14,1.041
2016-12-15,1.037
2016-12-16,1.037
2016-12-19,1.028
2016-12-20,1.03
2016-12-21,1.037
2016-12-22,1.032
2016-12-23,1.022
2016-12-26,1.033
2016-12-27,1.027
2016-12-28,1.025
2016-12-29,1.024
2016-12-30,1.027
2017-01-03,1.04
2017-01-04,1.044
2017-01-05,1.04
2017-01-06,1.03
2017-01-09,1.031
2017-01-10,1.033
2017-01-11,1.031
2017-01-12,1.032
2017-01-13,1.035
2017-01-16,1.031
2017-01-17,1.027
2017-01-18,1.026
2017-01-19,1.03
2017-01-20,1.039
2017-01-23,1.038
2017-01-24,1.033
2017-01-25,1.035
2017-01-26,1.041
2017-02-03,1.031
2017-02-06,1.031
2017-02-07,1.026
2017-02-08,1.045
2017-02-09,1.044
2017-02-10,1.05
2017-02-13,1.058
2017-02-14,1.056
2017-02-15,1.049
2017-02-16,1.059
2017-02-17,1.059
2017-02-20,1.067
2017-02-21,1.072
2017-02-22,1.069
2017-02-23,1.059
2017-02-24,1.063
2017-02-27,1.052
2017-02-28,1.052
2017-03-01,1.052
2017-03-02,1.051
2017-03-03,1.042
2017-03-06,1.051
2017-03-07,1.05
2017-03-08,1.047
2017-03-09,1.043
2017-03-10,1.039
2017-03-13,1.042
2017-03-14,1.041
2017-03-15,1.042
2017-03-16,1.063
2017-03-17,1.044
2017-03-20,1.037
2017-03-21,1.032
2017-03-22,1.017
2017-03-23,1.02
2017-03-24,1.035
2017-03-27,1.033
2017-03-28,1.028
2017-03-29,1.019
2017-03-30,1.016
2017-03-31,1.016
2017-04-05,1.031
2017-04-06,1.03
2017-04-07,1.033
2017-04-10,1.024
2017-04-11,1.024
2017-04-12,1.031
2017-04-13,1.028
2017-04-14,1.019
2017-04-17,1.018
2017-04-18,1.007
2017-04-19,0.999
2017-04-20,0.998
2017-04-21,1.005
2017-04-24,1.003
2017-04-25,0.997
2017-04-26,1.001
2017-04-27,0.998
2017-04-28,0.999
2017-05-02,0.992
2017-05-03,0.985
2017-05-04,0.977
2017-05-05,0.96
2017-05-08,0.958
2017-05-09,0.956
2017-05-10,0.949
2017-05-11,0.95
2017-05-12,0.96
2017-05-15,0.965
2017-05-16,0.97
2017-05-17,0.968
2017-05-18,0.96
2017-05-19,0.956
2017-05-22,0.942
2017-05-23,0.945
2017-05-24,0.949
2017-05-25,0.987
2017-05-26,0.984
2017-05-31,0.99
2017-06-01,0.985
2017-06-02,0.987
2017-06-05,0.982
2017-06-06,0.986
2017-06-07,0.995
2017-06-08,0.994
2017-06-09,0.99
2017-06-12,0.977
2017-06-13,0.982
2017-06-14,0.983
2017-06-15,0.993
2017-06-16,0.99
2017-06-19,1.008
2017-06-20,1.007
2017-06-21,1.008
2017-06-22,1.009
2017-06-23,1.007
2017-06-26,1.02
2017-06-27,1.018
2017-06-28,1.014
2017-06-29,1.012
2017-06-30,1.011
2017-07-03,1.007
2017-07-04,0.998
2017-07-05,1.006
2017-07-06,1.004
2017-07-07,1.017
2017-07-10,1.024
2017-07-11,1.028
2017-07-12,1.022
2017-07-13,1.041
2017-07-14,1.041
2017-07-17,1.011
2017-07-18,1.002
2017-07-19,1.065
2017-07-20,1.061
2017-07-21,1.054
2017-07-24,1.055
2017-07-25,1.044
2017-07-26,1.048
2017-07-27,1.056
2017-07-28,1.049
2017-07-31,1.055
2017-08-01,1.068
2017-08-02,1.075
2017-08-03,1.071
2017-08-04,1.074
2017-08-07,1.06
2017-08-08,1.064
2017-08-09,1.052
2017-08-10,1.054
2017-08-11,1.025
2017-08-14,1.042
2017-08-15,1.038
2017-08-16,1.039
2017-08-17,1.048
2017-08-18,1.039
2017-08-21,1.042
2017-08-22,1.042
2017-08-23,1.05
2017-08-24,1.036
2017-08-25,1.065
2017-08-28,1.127
2017-08-29,1.115
2017-08-30,1.116
2017-08-31,1.129
2017-09-01,1.136
2017-09-04,1.133
2017-09-05,1.131
2017-09-06,1.125
2017-09-07,1.114
2017-09-08,1.107
2017-09-11,1.11
2017-09-12,1.12
2017-09-13,1.117
2017-09-14,1.115
2017-09-15,1.118
2017-09-18,1.131
2017-09-19,1.114
2017-09-20,1.116
2017-09-21,1.114
2017-09-22,1.11
2017-09-25,1.102
2017-09-26,1.103
2017-09-27,1.101
2017-09-28,1.1
2017-09-29,1.112
2017-10-09,1.112
2017-10-10,1.111
2017-10-11,1.104
2017-10-12,1.1
2017-10-13,1.104
2017-10-16,1.096
2017-10-17,1.086
2017-10-18,1.085
2017-10-19,1.065
2017-10-20,1.067
2017-10-23,1.062
2017-10-24,1.071
2017-10-25,1.072
2017-10-26,1.076
2017-10-27,1.066
2017-10-30,1.041
2017-10-31,1.035
2017-11-01,1.029
2017-11-02,1.033
2017-11-03,1.031
2017-11-06,1.03
2017-11-07,1.044
2017-11-08,1.062
2017-11-09,1.064
2017-11-10,1.066
2017-11-13,1.06
2017-11-14,1.05
2017-11-15,1.046
2017-11-16,1.028
2017-11-17,1.036
2017-11-20,1.021
2017-11-21,1.062
2017-11-22,1.065
2017-11-23,1.04
2017-11-24,1.042
2017-11-27,1.04
2017-11-28,1.043
2017-11-29,1.041
2017-11-30,1.039
2017-12-01,1.036
2017-12-04,1.026
2017-12-05,1.036
2017-12-06,1.037
2017-12-07,1.022
2017-12-08,1.021
2017-12-11,1.023
2017-12-12,1.004
2017-12-13,1.006
2017-12-14,0.991
2017-12-15,0.982
2017-12-18,0.977
2017-12-19,0.98
2017-12-20,0.967
2017-12-21,0.973
2017-12-22,0.964
2017-12-25,0.951
2017-12-26,0.957
2017-12-27,0.947
2017-12-28,0.953
2017-12-29,0.953
2018-01-02,0.966
2018-01-03,0.981
2018-01-04,0.98
2018-01-05,0.983
2018-01-08,1.004
2018-01-09,0.996
2018-01-10,0.993
2018-01-11,0.989
2018-01-12,0.986
2018-01-15,0.97
2018-01-16,0.991
2018-01-17,1.027
2018-01-18,1.033
2018-01-19,1.061
2018-01-22,1.057
2018-01-23,1.061
2018-01-24,1.099
2018-01-25,1.077
2018-01-26,1.078
2018-01-29,1.06
2018-01-30,1.046
2018-01-31,1.023
2018-02-01,1.013
2018-02-02,1.01
2018-02-05,1.014
2018-02-06,0.967
2018-02-07,0.956
2018-02-08,0.951
2018-02-09,0.881
2018-02-12,0.877
2018-02-13,0.887
2018-02-14,0.885
2018-02-22,0.893
2018-02-23,0.9
2018-02-26,0.921
2018-02-27,0.913
2018-02-28,0.906
2018-03-01,0.909
2018-03-02,0.9
2018-03-05,0.9
2018-03-06,0.918
2018-03-07,0.908
2018-03-08,0.911
2018-03-09,0.926
2018-03-12,0.941
2018-03-13,0.925
2018-03-14,0.918
2018-03-15,0.915
2018-03-16,0.904
2018-03-19,0.905
2018-03-20,0.904
2018-03-21,0.908
2018-03-22,0.906
2018-03-23,0.856
2018-03-26,0.863
2018-03-27,0.875
