date,unit_nav,cum_nav,ret_pct
2025-04-23,1.0,1.0,0.0
2025-04-25,0.9992,0.9992,0.0
2025-04-29,0.9957,0.9957,0.0
2025-04-30,0.9899,0.9899,-0.58
2025-05-06,0.9966,0.9966,0.68
2025-05-07,1.0029,1.0029,0.63
2025-05-08,1.0034,1.0034,0.05
2025-05-09,1.0056,1.0056,0.22
2025-05-12,1.0129,1.0129,0.73
2025-05-13,1.0184,1.0184,0.54
2025-05-14,1.0321,1.0321,1.35
2025-05-15,1.0271,1.0271,-0.48
2025-05-16,1.0229,1.0229,-0.41
2025-05-19,1.0246,1.0246,0.17
2025-05-20,1.0283,1.0283,0.36
2025-05-21,1.0433,1.0433,1.46
2025-05-22,1.0413,1.0413,-0.19
2025-05-23,1.0341,1.0341,-0.69
2025-05-26,1.0311,1.0311,-0.29
2025-05-27,1.0253,1.0253,-0.56
2025-05-28,1.034,1.034,0.85
2025-05-29,1.0376,1.0376,0.35
2025-05-30,1.0352,1.0352,-0.23
2025-06-03,1.0286,1.0286,-0.64
2025-06-04,1.0311,1.0311,0.24
2025-06-05,1.0281,1.0281,-0.29
2025-06-06,1.0302,1.0302,0.2
2025-06-09,1.0332,1.0332,0.29
2025-06-10,1.0322,1.0322,-0.1
2025-06-11,1.0376,1.0376,0.52
2025-06-12,1.0337,1.0337,-0.38
2025-06-13,1.0312,1.0312,-0.24
2025-06-16,1.0244,1.0244,-0.66
2025-06-17,1.0255,1.0255,0.11
2025-06-18,1.0235,1.0235,-0.2
2025-06-19,1.0128,1.0128,-1.05
2025-06-20,1.0185,1.0185,0.56
2025-06-23,1.02,1.02,0.15
2025-06-24,1.0262,1.0262,0.61
2025-06-25,1.0299,1.0299,0.36
2025-06-26,1.0305,1.0305,0.06
2025-06-27,1.0363,1.0363,0.56
2025-06-30,1.0375,1.0375,0.12
2025-07-01,1.0424,1.0424,0.47
2025-07-02,1.053,1.053,1.02
2025-07-03,1.0563,1.0563,0.31
2025-07-04,1.0548,1.0548,-0.14
2025-07-07,1.0505,1.0505,-0.41
2025-07-08,1.0552,1.0552,0.45
2025-07-09,1.0509,1.0509,-0.41
